sample_id	caf_core	cxcl13_t_cells	hgf_met_axis	macrophage_lipid_candidate	mcam_caf	myc_glycolysis_core	plasticity_emt
TCGA-CA-6716-01	0.267062	-1.449839	0.798439	-0.612134	0.246308	-0.104479	0.382609
TCGA-AA-3518-11	-0.488867	0.821324	-0.786172	0.292256	-0.214431	-0.422231	0.334322
TCGA-AA-3531-11	-0.610806	0.541423	-1.090682	0.495401	-0.594590	-0.377355	0.187604
TCGA-CA-6715-01	-0.214259	-1.127329	-0.019042	-1.083184	-0.013291	0.541961	0.321015
TCGA-CM-4743-01	-0.188013	0.081970	-0.177384	-0.183288	0.422015	0.814106	-0.854525
TCGA-A6-6654-01	1.447494	0.965480	0.900015	1.291400	1.445845	-0.052994	0.754456
TCGA-5M-AAT5-01	-0.718489	-0.724140	-0.520264	-0.952299	-0.635260	0.101683	0.393813
TCGA-G4-6627-01	0.693472	0.835286	0.621433	0.297439	0.877714	0.239826	0.864871
TCGA-A6-5664-01	0.903775	0.959134	0.567889	0.775146	1.247588	0.645357	0.553443
TCGA-CM-6167-01	1.562501	0.378510	1.074668	0.699005	1.926795	-1.582338	0.227630
TCGA-AA-3534-11	-0.337939	0.919371	-0.479176	0.539725	-0.426287	-0.847872	-0.037731
TCGA-AD-6548-01	0.569847	0.490478	-0.059535	0.353836	0.444058	1.483413	0.344006
TCGA-F4-6805-01	1.174705	0.245376	0.866605	0.926821	1.325851	0.354884	0.496405
TCGA-A6-6780-01	-0.621591	1.074534	-0.601967	1.061960	-0.724777	1.110466	-0.636890
TCGA-DM-A1HA-01	-1.943569	-0.557212	0.131845	-1.047188	-1.678151	-0.135293	-0.812851
TCGA-CM-6676-01	0.295478	-0.858502	0.243063	-0.516890	0.410739	0.023040	0.364152
TCGA-A6-6650-01	-0.573421	-0.946907	0.365425	-0.663245	-0.365275	0.247217	-0.277696
TCGA-AA-3713-11	-0.810570	0.942582	-0.827356	0.551110	-0.689395	-0.429601	-0.435302
TCGA-NH-A6GB-01	-0.340867	-0.136068	-0.365102	-0.640035	-0.295697	0.745918	-0.419202
TCGA-A6-6652-01	-0.619847	-1.024168	-0.436821	-1.303109	-0.672658	-1.106690	-0.190257
TCGA-CM-6164-01	-0.071983	0.188888	0.601922	-0.150510	0.072587	-0.161544	0.423453
TCGA-D5-6536-01	0.494140	-1.112778	-1.095220	-0.080976	0.510793	-0.153888	0.020583
TCGA-G4-6588-01	0.127746	-0.254577	-0.961568	-0.149660	0.147271	0.687187	-0.404813
